,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
529,DDAP-Licensed Treatment Facility,Community Service Foundation Inc.,1460 North Charlotte Street,Montgomery,610-718-9500,42,091,46,46,"{'latitude': '40.2689499', 'longitude': '-75.622092', 'human_address': '{""address"": """", ""city"": ""Pottstown"", ""state"": ""Pennsylvania"", ""zip"": ""19464""}'}",1221,302,57,33,57
530,DDAP-Licensed Treatment Facility,Moore Counseling Services,1222 Pennsylvania Avenue,Blair,814-684-5588,42,013,7,07,"{'latitude': '40.67284', 'longitude': '-78.23751', 'human_address': '{""address"": """", ""city"": ""Tyrone"", ""state"": ""Pennsylvania"", ""zip"": ""16686""}'}",263,449,28,17,46
531,DDAP-Licensed Treatment Facility,Harbor Counseling Center  - Blossburg Satellite Office,206 Main Street Suite 5,Tioga,570- 638-3138,42,117,59,59,"{'latitude': '41.678747', 'longitude': '-77.064401', 'human_address': '{""address"": """", ""city"": ""Blossburg"", ""state"": ""Pennsylvania"", ""zip"": ""16912""}'}",1799,461,77,14,48
532,DDAP-Licensed Treatment Facility,"Impact Counseling Services, LLC",815 Rowena Drive,Cambria,814-327-5868,42,021,11,11,"{'latitude': '40.484829', 'longitude': '-78.724989', 'human_address': '{""address"": """", ""city"": ""Ebensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15931""}'}",1228,23,20,16,2
533,DDAP-Licensed Treatment Facility,Parkside Recovery,"5429 Germantown Avenue, 2nd Floor",Philadelphia,215-754-0240,42,101,51,51,"{'latitude': '40.0339363', 'longitude': '-75.1713693', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,45,13
534,DDAP-Licensed Treatment Facility,Resources for Human Development,"100 Ross Road, Suite 204",Montgomery,484-681-4040,42,091,46,46,"{'latitude': '40.09993', 'longitude': '-75.367035', 'human_address': '{""address"": """", ""city"": ""King Of Prussia"", ""state"": ""Pennsylvania"", ""zip"": ""19406""}'}",867,454,174,41,57
535,DDAP-Licensed Treatment Facility,Arc Manor,200 Oak Avenue,Armstrong,724-548-7607,42,005,3,03,"{'latitude': '40.819865', 'longitude': '-79.5180929', 'human_address': '{""address"": """", ""city"": ""Kittanning"", ""state"": ""Pennsylvania"", ""zip"": ""16201""}'}",834,106,11,15,41
536,DDAP-Licensed Treatment Facility,Wellness Counseling Associates,1300 Millersville Pike,Lancaster,717-397-2727,42,071,36,36,"{'latitude': '40.045124', 'longitude': '-76.30499', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
537,DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery Outpatient Services,580 Feightner Road,Westmoreland,724-837-1518,42,129,65,65,"{'latitude': '40.302822', 'longitude': '-79.5191679', 'human_address': '{""address"": """", ""city"": ""Greensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",668,263,81,13,24
538,DDAP-Licensed Treatment Facility,"Livengrin Foundation, Inc.","1500 Walnut Street, Suite 507",Philadelphia,215-546-2626,42,101,51,51,"{'latitude': '39.9494166', 'longitude': '-75.1661366', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19102""}'}",1069,365,190,47,13
539,DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. Confront",1130 Walnut Street,Lehigh,610-433-0148,42,077,39,39,"{'latitude': '40.598293', 'longitude': '-75.480156', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18102""}'}",455,99,162,36,26
540,DDAP-Licensed Treatment Facility,Ridgeview Adolescent Behavioral Health Center at Pittsburgh,4447 Gibsonia Road,Allegheny,724-443-3220,42,003,2,02,"{'latitude': '40.613877', 'longitude': '-79.901387', 'human_address': '{""address"": """", ""city"": ""Gibsonia"", ""state"": ""Pennsylvania"", ""zip"": ""15044""}'}",1633,65,78,9,40
541,DDAP-Licensed Treatment Facility,Coatesville Treatment Center,1825 East Lincoln Highway,Chester,610-466-9250,42,029,15,15,"{'latitude': '39.989286', 'longitude': '-75.789659', 'human_address': '{""address"": """", ""city"": ""Coatesville"", ""state"": ""Pennsylvania"", ""zip"": ""19320""}'}",2265,142,96,33,6
542,DDAP-Licensed Treatment Facility,Mirmont Outpatient Services,825 Springdale Drive,Chester,484-565-1130,42,029,15,15,"{'latitude': '40.021334', 'longitude': '-75.651159', 'human_address': '{""address"": """", ""city"": ""Exton"", ""state"": ""Pennsylvania"", ""zip"": ""19341""}'}",994,480,201,32,6
543,DDAP-Licensed Treatment Facility,"Spring-Ford Counseling Services, Inc.",201 North Fourth Avenue Suite 101,Montgomery,610-948-0393,42,091,46,46,"{'latitude': '40.1869', 'longitude': '-75.54135', 'human_address': '{""address"": """", ""city"": ""Royersford"", ""state"": ""Pennsylvania"", ""zip"": ""19468""}'}",2103,241,57,33,57
544,DDAP-Licensed Treatment Facility,Wes Corporation,1315 Windrim Avenue,Philadelphia,215-456-2696,42,101,51,51,"{'latitude': '40.030767', 'longitude': '-75.144872', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19141""}'}",1069,365,178,46,13
545,DDAP-Licensed Treatment Facility,Chances,"1200 Callowhill Street, Suite 102",Philadelphia,215-923-0218,42,101,51,51,"{'latitude': '39.9590346', 'longitude': '-75.1587131', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19123""}'}",1069,365,183,47,13
546,Center of Excellence,"Penn Foundation, Inc.",807 Lawn Avenue,Bucks,215-257-9999,42,017,9,09,"{'latitude': '40.364551', 'longitude': '-75.325422', 'human_address': '{""address"": """", ""city"": ""Sellersville"", ""state"": ""Pennsylvania"", ""zip"": ""18960""}'}",1312,345,128,40,35
547,DDAP-Licensed Treatment Facility,"Center For Behavioral Health - PA, Inc.","301 Smith Drive, Suite 3",Butler,724-779-2010,42,019,10,10,"{'latitude': '40.697533', 'longitude': '-80.101511', 'human_address': '{""address"": """", ""city"": ""Cranberry Township"", ""state"": ""Pennsylvania"", ""zip"": ""16066""}'}",254,426,9,5,1
548,DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.",9457 Lincoln Highway Suite 105,Bedford,814-623-7658,42,009,5,05,"{'latitude': '40.018597', 'longitude': '-78.4644', 'human_address': '{""address"": """", ""city"": ""Bedford"", ""state"": ""Pennsylvania"", ""zip"": ""15522""}'}",1551,3,31,16,43
549,DDAP-Licensed Treatment Facility,Crozer Chester Medical Center,"2600 West Ninth Street, 4Th Floor",Delaware,610-497-7282,42,045,23,23,"{'latitude': '39.849557', 'longitude': '-75.3557457', 'human_address': '{""address"": """", ""city"": ""Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19013""}'}",2467,160,65,35,28
550,DDAP-Licensed Treatment Facility,"HSA Counseling, Inc. D/B/A Gearty & Skiles Counseling",107 East Locust Street,Lancaster,717-733-8898,42,071,36,36,"{'latitude': '40.178028', 'longitude': '-76.1742933', 'human_address': '{""address"": """", ""city"": ""Ephrata"", ""state"": ""Pennsylvania"", ""zip"": ""17522""}'}",290,60,133,26,23
551,DDAP-Licensed Treatment Facility,GPASS- Asian Outpatient Counseling Serv.,4943 North 5Th Street,Philadelphia,215-456-1662,42,101,51,51,"{'latitude': '40.0269286', 'longitude': '-75.1323185', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19120""}'}",1069,365,186,46,13
552,DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. Keenan House","18-22 South Sixth Street, Po Box 685",Lehigh,610-432-7690,42,077,39,39,"{'latitude': '40.602057', 'longitude': '-75.46972', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18101""}'}",455,99,162,36,26
553,Center of Excellence,"Pyramid Healthcare, Inc.",1896 Plank Road,Blair,1-888-694-9996,42,013,7,07,"{'latitude': '40.445998', 'longitude': '-78.409769', 'human_address': '{""address"": """", ""city"": ""Duncansville"", ""state"": ""Pennsylvania"", ""zip"": ""16635""}'}",1580,268,29,17,46
554,DDAP-Licensed Treatment Facility,"Polaris Renewal Services, Inc",3591 Pittsburgh Road,Fayette,724-736-8390,42,051,26,26,"{'latitude': '40.09698', 'longitude': '-79.763748', 'human_address': '{""address"": """", ""city"": ""Perryopolis"", ""state"": ""Pennsylvania"", ""zip"": ""15473""}'}",95,175,8,1,31
555,DDAP-Licensed Treatment Facility,"Uhs Of Fairmount, Inc.",561 Fairthorne Avenue,Philadelphia,215-487-4000,42,101,51,51,"{'latitude': '40.0430599', 'longitude': '-75.220848', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19128""}'}",1069,365,181,46,13
556,DDAP-Licensed Treatment Facility,The Lighthouse for Men,1820 Washington Road,Washington,724-743-5747,42,125,63,63,"{'latitude': '40.2285899', 'longitude': '-80.18179', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2248,94,4,12,52
557,DDAP-Licensed Treatment Facility,Lehigh Valley Drug And Alcohol Intake Unit,100 North 3rd Street Suite 401,Northampton,610-923-0394,42,095,48,48,"{'latitude': '40.6907', 'longitude': '-75.20907', 'human_address': '{""address"": """", ""city"": ""Easton"", ""state"": ""Pennsylvania"", ""zip"": ""18042""}'}",1870,197,140,10,59
558,DDAP-Licensed Treatment Facility,John F. Kennedy Behavioral Health Center,907 North Broad Street,Philadelphia,215-235-5520,42,101,51,51,"{'latitude': '39.970427', 'longitude': '-75.159179', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19123""}'}",1069,365,194,47,13
559,DDAP-Licensed Treatment Facility,"Mercy House of Meadville, Inc.","13180 Leslie Road, Suite 2",Crawford,814-337-6180,42,039,20,20,"{'latitude': '41.6560004', 'longitude': '-80.1187905', 'human_address': '{""address"": """", ""city"": ""Meadville"", ""state"": ""Pennsylvania"", ""zip"": ""16335""}'}",291,81,47,3,16
560,DDAP-Licensed Treatment Facility,"Colonial House, Inc.",1300 Woodberry Road,York,717-792-9702,42,133,67,67,"{'latitude': '39.934632', 'longitude': '-76.802537', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17408""}'}",8,407,196,24,12
561,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.","One South Second Street, 4th Floor",Schuylkill,570-622-6485,42,107,54,54,"{'latitude': '40.6856456', 'longitude': '-76.195499', 'human_address': '{""address"": """", ""city"": ""Pottsville"", ""state"": ""Pennsylvania"", ""zip"": ""17901""}'}",1892,304,53,27,64
562,Center of Excellence,Lancaster General Hospital,555 N. Duke Street,Lancaster,717-544-1427 ,42,071,36,36,"{'latitude': '40.047298', 'longitude': '-76.304023', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17604""}'}",1993,89,143,25,23
563,DDAP-Licensed Treatment Facility,The Ranch Pennsylvania,1166 Hilts Road,York,717-478-1616,42,133,67,67,"{'latitude': '40.004578', 'longitude': '-76.519585', 'human_address': '{""address"": """", ""city"": ""Wrightsville"", ""state"": ""Pennsylvania"", ""zip"": ""17368""}'}",2512,196,137,24,12
564,DDAP-Licensed Treatment Facility,"Carbon Monroe Pike Drug and Alcohol Commission, Inc.","428 South Seventh Street, Suite 1",Carbon,610-377-5177,42,025,13,13,"{'latitude': '40.826862', 'longitude': '-75.718363', 'human_address': '{""address"": """", ""city"": ""Lehighton"", ""state"": ""Pennsylvania"", ""zip"": ""18235""}'}",1059,153,108,30,4
565,DDAP-Licensed Treatment Facility,"Liberation Way, LLC","225 East City Avenue, Suite 15",Montgomery,856-669-4988,42,091,46,46,"{'latitude': '40.004121', 'longitude': '-75.220371', 'human_address': '{""address"": """", ""city"": ""Bala Cynwyd"", ""state"": ""Pennsylvania"", ""zip"": ""19004""}'}",673,230,181,41,57
566,DDAP-Licensed Treatment Facility,"Axiom Family Counseling Services, Inc.",630 Cherry Tree Lane,Fayette,724-439-0308,42,051,26,26,"{'latitude': '39.901067', 'longitude': '-79.755425', 'human_address': '{""address"": """", ""city"": ""Uniontown"", ""state"": ""Pennsylvania"", ""zip"": ""15401""}'}",1284,204,7,1,31
567,DDAP-Licensed Treatment Facility,"Genesis House, Inc.",2 East Main Street,Dauphin,717-232-6981,42,043,22,22,"{'latitude': '40.548864', 'longitude': '-76.811497', 'human_address': '{""address"": """", ""city"": ""Elizabethville"", ""state"": ""Pennsylvania"", ""zip"": ""17023""}'}",2082,403,127,23,18
568,DDAP-Licensed Treatment Facility,Dolminis,2 Sellers Drive,Blair,814-204-0059,42,013,7,07,"{'latitude': '40.4608961', 'longitude': '-78.4078752', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16601""}'}",1580,268,29,17,46
569,DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",12 Church Street Suite 100,McKean,814-642-9541,42,083,42,42,"{'latitude': '41.8145382', 'longitude': '-78.281488', 'human_address': '{""address"": """", ""city"": ""Port Allegany"", ""state"": ""Pennsylvania"", ""zip"": ""16743""}'}",1161,293,14,14,47
570,DDAP-Licensed Treatment Facility,Discovery House Ha,99 South Cameron Street,Dauphin,717-233-7290,42,043,22,22,"{'latitude': '40.2632563', 'longitude': '-76.8734907', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17101""}'}",1625,182,42,23,18
571,Center of Excellence,"Crossroads Counseling, Inc.",444 East College Avenue (Suite 460),Centre,814-231-0490,42,027,14,14,"{'latitude': '40.79889', 'longitude': '-77.855733', 'human_address': '{""address"": """", ""city"": ""State College"", ""state"": ""Pennsylvania"", ""zip"": ""16801""}'}",890,406,18,18,5
572,Center of Excellence,Tadiso Incorporated,1425 Beaver Avenue,Allegheny,412-322-8415 ext 164,42,003,2,02,"{'latitude': '40.454031', 'longitude': '-80.029828', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15233""}'}",2158,324,164,6,40
573,DDAP-Licensed Treatment Facility,"Discovery House, Inc.",214 Airport Road,Clearfield,814-768-7575,42,033,17,17,"{'latitude': '41.045871', 'longitude': '-78.397817', 'human_address': '{""address"": """", ""city"": ""Clearfield"", ""state"": ""Pennsylvania"", ""zip"": ""16830""}'}",276,141,15,16,8
574,DDAP-Licensed Treatment Facility,"RHJ Medical Center, Inc.",1005 Old State Route 119,Westmoreland,724-696-9600,42,129,65,65,"{'latitude': '40.19293', 'longitude': '-79.58739', 'human_address': '{""address"": """", ""city"": ""Hunker"", ""state"": ""Pennsylvania"", ""zip"": ""15639""}'}",668,263,81,13,24
575,DDAP-Licensed Treatment Facility,"Habit OPCO, Inc. - Allentown",4400 South Cedarbrook Road,Lehigh,610-481-0444,42,077,39,39,"{'latitude': '40.5762993', 'longitude': '-75.5444164', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18103""}'}",506,336,129,36,26
576,Center of Excellence,The Wright Center for Primary Care Ryan White Infectious Disease Clinic,640 Madison Avenue,Lackawanna,570-941-0630,42,069,35,35,"{'latitude': '41.411443', 'longitude': '-75.653404', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18510""}'}",1912,420,125,34,22
577,DDAP-Licensed Treatment Facility,"Two Roads Counseling Services, Inc.",203 Main Street,Jefferson,814-952-8446,42,065,33,33,"{'latitude': '41.160234', 'longitude': '-79.079773', 'human_address': '{""address"": """", ""city"": ""Brookville"", ""state"": ""Pennsylvania"", ""zip"": ""15825""}'}",264,107,16,14,20
578,DDAP-Licensed Treatment Facility,"Creative Health Services, Inc.",100 First Avenue,Chester,610-613-8158,42,029,15,15,"{'latitude': '40.129892', 'longitude': '-75.511521', 'human_address': '{""address"": """", ""city"": ""Phoenixville"", ""state"": ""Pennsylvania"", ""zip"": ""19460""}'}",2560,367,59,32,6
579,DDAP-Licensed Treatment Facility,Western Pennsylvania Teen Challenge,220 Challenge Lane,Allegheny,724-265-4110,42,003,2,02,"{'latitude': '40.572054', 'longitude': '-79.82603', 'human_address': '{""address"": """", ""city"": ""Cheswick"", ""state"": ""Pennsylvania"", ""zip"": ""15024""}'}",2503,172,79,9,40
580,Center of Excellence,"Wedge Medical Center, Inc",6711 Old York Road,Philadelphia,215-276-3922 x2070,42,101,51,51,"{'latitude': '40.056212', 'longitude': '-75.139784', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19126""}'}",1069,365,179,46,13
581,DDAP-Licensed Treatment Facility,Family Service Association of Bucks County,708 North Shady Retreat Road,Bucks,215-757-6916,42,017,9,09,"{'latitude': '40.319834', 'longitude': '-75.142072', 'human_address': '{""address"": """", ""city"": ""Doylestown"", ""state"": ""Pennsylvania"", ""zip"": ""18901""}'}",1410,22,145,40,35
582,DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc.","2012 Centre Avenue, PO Box 2548",Allegheny,412-224-2962,42,003,2,02,"{'latitude': '40.442168', 'longitude': '-79.9949422', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15230""}'}",2158,324,164,6,40
583,DDAP-Licensed Treatment Facility,"A & O Recovery Services, Inc.",3319 Kensington Avenue,Philadelphia,215-426-1992,42,101,51,51,"{'latitude': '39.998', 'longitude': '-75.11018', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19134""}'}",1069,365,185,49,13
584,DDAP-Licensed Treatment Facility,"Pennsylvania Counseling Services, Inc.",610 Poplar Street,Lancaster,717-449-5888,42,071,36,36,"{'latitude': '40.038204', 'longitude': '-76.50039', 'human_address': '{""address"": """", ""city"": ""Columbia"", ""state"": ""Pennsylvania"", ""zip"": ""17512""}'}",1193,151,134,26,23
585,DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",4625 Frankford Avenue,Philadelphia,215-289-3350,42,101,51,51,"{'latitude': '40.015153', 'longitude': '-75.084735', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19124""}'}",1069,365,186,48,13
586,DDAP-Licensed Treatment Facility,Highland Outpatient Services,"101 South Mercer Street, Suite 104",Lawrence,724-856-7211,42,073,37,37,"{'latitude': '40.99822', 'longitude': '-80.3452949', 'human_address': '{""address"": """", ""city"": ""New Castle"", ""state"": ""Pennsylvania"", ""zip"": ""16101""}'}",622,231,22,2,27
587,DDAP-Licensed Treatment Facility,Gaudenzia Inc. Winner Co-Occurring Women & Children Program,1834 West Tioga Street,Philadelphia,215-228-7595,42,101,51,51,"{'latitude': '40.006923', 'longitude': '-75.159757', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19140""}'}",1069,365,177,46,13
