,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
526,Gettysburg College Health Service,250 West Broadway,Gettysburg,PA,17325,Adams,"{'latitude': '39.838063', 'longitude': '-77.236757', 'human_address': '{""address"": ""250 West Broadway"", ""city"": ""Gettysburg"", ""state"": ""PA"", ""zip"": ""17325""}'}","{'type': 'Point', 'coordinates': [-77.236885, 39.838041]}",39.838041,-77.236885,Yes,Active,19,39,13,1635,92,35,(717)337-6970,,,Director Judith Williams
527,Punxsutawney Police Department,301 East Mahoning Street,Punxsutawney,PA,15767,Jefferson,"{'latitude': '40.944392', 'longitude': '-78.967801', 'human_address': '{""address"": ""301 East Mahoning Street"", ""city"": ""Punxsutawney"", ""state"": ""PA"", ""zip"": ""15767""}'}","{'type': 'Point', 'coordinates': [-78.968021, 40.943926]}",40.943926,-78.968021,Yes,Active,14,20,3,42,306,16,814-938-6220,,Operational,
528,City of Lower Burrell Police Dept.,2800 Bethel Street,Lower Burrell,PA,15068-3227,Westmoreland,"{'latitude': '40.589064', 'longitude': '-79.727608', 'human_address': '{""address"": ""2800 Bethel Street"", ""city"": ""Lower Burrell"", ""state"": ""PA"", ""zip"": ""15068-3227""}'}","{'type': 'Point', 'coordinates': [-79.728416, 40.588191]}",40.588191,-79.728416,Yes,Active,8,24,9,2457,114,78,(724)339-4287,M-F 8-4,Operational,Chief Tim Weitzel
529,Vandergrift Police Dept.,109 Grant Avenue,Vandergrift,PA,15690,Westmoreland,"{'latitude': '40.604068', 'longitude': '-79.564325', 'human_address': '{""address"": ""109 Grant Avenue"", ""city"": ""Vandergrift"", ""state"": ""PA"", ""zip"": ""15690""}'}","{'type': 'Point', 'coordinates': [-79.564151, 40.6042289]}",40.6042289,-79.564151,Yes,Active,8,24,9,1113,171,80,(724)568-5507,M-F 8-4,Operational,Chief Joseph M. Caporali
530,CVS #4013,200 EAST PLANK RD.,ALTOONA,PA,16602,"BLAIR,PA","{'latitude': '40.48158', 'longitude': '-78.402025', 'human_address': '{""address"": ""200 EAST PLANK RD."", ""city"": ""ALTOONA"", ""state"": ""PA"", ""zip"": ""16602""}'}","{'type': 'Point', 'coordinates': [-78.402575, 40.481961]}",40.481961,-78.402575,No,Active,17,46,13,52,101,29,8149449224,Follows Pharmacy Hours of Operation,Pharmacy,
531,State Police-Troop N / Lehighton,9170 Interchange Rd.,Lehighton,PA,18235,Carbon,"{'latitude': '40.877679', 'longitude': '-75.545323', 'human_address': '{""address"": ""9170 Interchange Rd."", ""city"": ""Lehighton"", ""state"": ""PA"", ""zip"": ""18235""}'}","{'type': 'Point', 'coordinates': [-75.544835, 40.87731]}",40.87731,-75.544835,No,Active,30,4,1,2540,281,108,,,,
532,Saxton Borough Police Dept.,707 9th Street,Saxton,PA,16678,Bedford,"{'latitude': '40.214689', 'longitude': '-78.246287', 'human_address': '{""address"": ""707 9th Street"", ""city"": ""Saxton"", ""state"": ""PA"", ""zip"": ""16678""}'}","{'type': 'Point', 'coordinates': [-78.2464611, 40.2156453]}",40.2156453,-78.2464611,No,Active,16,43,13,578,447,31,(814) 635-3523,"M & T 8:00am – 4:00pm  W,Th, Fr 9:00am – 5:00pm",Operational,
533,Cambria Township Municipal Building,184 Municipal Road,Ebensburg,PA,15931,Cambria,"{'latitude': '40.495938', 'longitude': '-78.753841', 'human_address': '{""address"": ""184 Municipal Road"", ""city"": ""Ebensburg"", ""state"": ""PA"", ""zip"": ""15931""}'}","{'type': 'Point', 'coordinates': [-78.755024, 40.496375]}",40.496375,-78.755024,No,Active,16,2,3,1566,23,20,,,,
534,Morrisville Borough Police,35 Union Street,Morrisville,PA,19067,Bucks,"{'latitude': '40.210728', 'longitude': '-74.77566', 'human_address': '{""address"": ""35 Union Street"", ""city"": ""Morrisville"", ""state"": ""PA"", ""zip"": ""19067""}'}","{'type': 'Point', 'coordinates': [-74.775287, 40.210121]}",40.210121,-74.775287,No,Active,40,35,4,1914,326,168,(215)-295-8112,,Operational,
535,WELLSPAN YORK HOSPITAL PHARMACY DEPT,1001 SOUTH GEORGE ST,York,PA,17405,York,"{'latitude': '39.946523', 'longitude': '-76.72045', 'human_address': '{""address"": ""1001 SOUTH GEORGE ST"", ""city"": ""York"", ""state"": ""PA"", ""zip"": ""17405""}'}","{'type': 'Point', 'coordinates': [-76.717463, 39.944835]}",39.944835,-76.717463,No,Active,24,12,16,1155,495,135,,,Pharmacy,
536,State Police-Troop F / Stonington,2465 SR 61,Sunbury,PA,17801,Northumberland,,"{'type': 'Point', 'coordinates': [-75.269556, 40.774015]}",40.774015,-75.269556,No,Active,,,12,,,,,,,
537,North Londonderry Township Police Dept.,655 East Ridge Road,Palymyra,PA,17078-9312,Lebanon,"{'latitude': '40.321897', 'longitude': '-76.593653', 'human_address': '{""address"": ""655 East Ridge Road"", ""city"": ""Palymyra"", ""state"": ""PA"", ""zip"": ""17078-9312""}'}","{'type': 'Point', 'coordinates': [-76.589638, 40.323143]}",40.323143,-76.589638,Yes,Active,28,25,1,1332,282,151,(717)838-5276,,,Chief Kevin L. Snyder
538,Bradford County Coroner's Office,129 Canton St.,Troy,PA,16947,Bradford,"{'latitude': '41.776796', 'longitude': '-76.792137', 'human_address': '{""address"": ""129 Canton St."", ""city"": ""Troy"", ""state"": ""PA"", ""zip"": ""16947""}'}","{'type': 'Point', 'coordinates': [-76.789762, 41.783744]}",41.783744,-76.789762,No,Active,21,34,2,21,386,77,(570)-297-0720,M-F 9:00 am - 5 pm,Operational,"Tom Carman, Coroner"
539,"CVS PHARMACY, L.L.C. # 01594 (DALLAS)",5 CHURCH STREET,DALLAS,PA,18612,Luzerne,"{'latitude': '41.33643', 'longitude': '-75.963393', 'human_address': '{""address"": ""5 CHURCH STREET"", ""city"": ""DALLAS"", ""state"": ""PA"", ""zip"": ""18612""}'}","{'type': 'Point', 'coordinates': [-75.962743, 41.337437]}",41.337437,-75.962743,No,Active,29,14,1,2393,42,91,,,Pharmacy,
540,"CVS PHARMACY, L.L.C. # 03168 (ERIE)",3800 PINE AVE,ERIE,PA,16504,Erie,"{'latitude': '42.1084', 'longitude': '-80.049534', 'human_address': '{""address"": ""3800 PINE AVE"", ""city"": ""ERIE"", ""state"": ""PA"", ""zip"": ""16504""}'}","{'type': 'Point', 'coordinates': [-80.049685, 42.107986]}",42.107986,-80.049685,No,Active,4,30,11,2182,61,50,,,Pharmacy,
541,Seward Borough Police Dept.,233 Indiana Street,Seward,PA,15954-0456,Westmoreland,"{'latitude': '40.415188', 'longitude': '-79.023258', 'human_address': '{""address"": ""233 Indiana Street"", ""city"": ""Seward"", ""state"": ""PA"", ""zip"": ""15954-0456""}'}","{'type': 'Point', 'coordinates': [-79.023129, 40.4154539]}",40.4154539,-79.023129,Yes,Active,13,24,13,2561,155,6,(814)446-6164,,Operational,"Chief Robert D. Malnofsky, Jr."
542,Tulpehocken Twp. Police Department,22 Rehrersburg Road,Rehrersburg,PA,19550,Berks,,"{'type': 'Point', 'coordinates': [-76.2298207, 40.4645632]}",40.4645632,-76.2298207,No,Active,,,1,,,,(717)933-5033,Monday to Thursday 8am – 3pm,Operational,Chief Kris Kerschner
543,St. Mary Medical Center Main Lobby,1201 Langhorne-Newtown Road,Langhorne,PA,19047,Bucks,"{'latitude': '40.2027', 'longitude': '-74.929658', 'human_address': '{""address"": ""1201 Langhorne-Newtown Road"", ""city"": ""Langhorne"", ""state"": ""PA"", ""zip"": ""19047""}'}","{'type': 'Point', 'coordinates': [-74.9249717, 40.2022897]}",40.2022897,-74.9249717,No,Active,50,35,4,391,284,165,,,active,
544,Colonial Regional Police Department,215 East Main Street,Bath,PA,18014,Northampton,"{'latitude': '40.724799', 'longitude': '-75.390511', 'human_address': '{""address"": ""215 East Main Street"", ""city"": ""Bath"", ""state"": ""PA"", ""zip"": ""18014""}'}","{'type': 'Point', 'coordinates': [-75.390479, 40.725198]}",40.725198,-75.390479,No,Active,38,59,12,1879,245,114,610-861-4820,8:00 a.m. - 4:00 p.m.,Operational,"Liz Bottone, Records Mgr."
545,CVS #1687,404 N. LOGAN BLVD.,BURNHAM,PA,17009,"MIFFLIN,PA","{'latitude': '40.632798', 'longitude': '-77.570834', 'human_address': '{""address"": ""404 N. LOGAN BLVD."", ""city"": ""BURNHAM"", ""state"": ""PA"", ""zip"": ""17009""}'}","{'type': 'Point', 'coordinates': [-77.571211, 40.632403]}",40.632403,-77.571211,No,Active,18,55,2,2431,295,36,7172483991,Follows Pharmacy Hours of Operation,Pharmacy,
546,Carlisle Borough Police Dept.,240 Lincoln Street,Carlisle,PA,17013,Cumberland,"{'latitude': '40.206966', 'longitude': '-77.194471', 'human_address': '{""address"": ""240 Lincoln Street"", ""city"": ""Carlisle"", ""state"": ""PA"", ""zip"": ""17013""}'}","{'type': 'Point', 'coordinates': [-77.1943684, 40.2065186]}",40.2065186,-77.1943684,Yes,Active,20,17,16,1678,146,40,(717)243-5252,M-F 7am-11pm,Operational,Chief Stephen Margeson
547,Giant Eagle Pharmacy #2415,1521 N. Main St.,Butler,PA,16001,Butler,,"{'type': 'Point', 'coordinates': [-79.907456, 40.89588]}",40.89588,-79.907456,No,Active,,,11,,,,(724) 282-9160,Pharmacy Hours,Pharmacy,
548,Messiah College (Engle Health Center),1 College Avenue,Mechanicsburg,PA,17055,Cumberland,"{'latitude': '40.155265', 'longitude': '-76.993255', 'human_address': '{""address"": ""1 College Avenue"", ""city"": ""Mechanicsburg"", ""state"": ""PA"", ""zip"": ""17055""}'}","{'type': 'Point', 'coordinates': [-77.580782, 40.711636]}",40.711636,-77.580782,Yes,Active,20,17,2,1412,246,39,(717)766-2511 ext 6035,M-F 8-5,Operational,
549,State Police-Troop D / Butler,200 Barracks Rd.,Butler,PA,16001-2689,Butler,"{'latitude': '40.865948', 'longitude': '-79.915299', 'human_address': '{""address"": ""200 Barracks Rd."", ""city"": ""Butler"", ""state"": ""PA"", ""zip"": ""16001-2689""}'}","{'type': 'Point', 'coordinates': [-79.915456, 40.866653]}",40.866653,-79.915456,No,Active,5,1,11,1388,100,10,,,,
550,North Middleton Township Police Dept.,2051 Spring Road,Carlisle,PA,17013,Cumberland,"{'latitude': '40.236923', 'longitude': '-77.180239', 'human_address': '{""address"": ""2051 Spring Road"", ""city"": ""Carlisle"", ""state"": ""PA"", ""zip"": ""17013""}'}","{'type': 'Point', 'coordinates': [-77.1804332, 40.2375734]}",40.2375734,-77.1804332,Yes,Active,17,17,16,258,146,40,(717)243-7910,M-F 7am-4pm,Operational,Chief Douglas W. Reitz
551,Chippewa Township Police Dept.,2811 Darlington Road,Beaver Falls,PA,15010,Beaver,"{'latitude': '40.780081', 'longitude': '-80.392398', 'human_address': '{""address"": ""2811 Darlington Road"", ""city"": ""Beaver Falls"", ""state"": ""PA"", ""zip"": ""15010""}'}","{'type': 'Point', 'coordinates': [-80.393743, 40.779182]}",40.779182,-80.393743,Yes,Active,2,42,17,1133,130,13,(724)843-8240,,,Chief Clint Berchtold
552,Lansdowne Borough Police,12 E. Baltimore Pk.,Lansdowne,PA,19050,Delaware,"{'latitude': '39.938375', 'longitude': '-75.271589', 'human_address': '{""address"": ""12 E. Baltimore Pk."", ""city"": ""Lansdowne"", ""state"": ""PA"", ""zip"": ""19050""}'}","{'type': 'Point', 'coordinates': [-75.271663, 39.938112]}",39.938112,-75.271663,No,Active,44,28,18,2322,438,202,,,,
553,Tullytown Borough Police,500 Main Street,Tullytown,PA,19007,Bucks,"{'latitude': '40.142543', 'longitude': '-74.811309', 'human_address': '{""address"": ""500 Main Street"", ""city"": ""Tullytown"", ""state"": ""PA"", ""zip"": ""19007""}'}","{'type': 'Point', 'coordinates': [-74.8115471, 40.1420204]}",40.1420204,-74.8115471,No,Active,40,35,4,386,358,169,(215)945-0999,M-F 8-4,Operational,
554,Wayne County District Attorney's Office,925 Court Street,Honesdale,PA,18431,Wayne,"{'latitude': '41.574754', 'longitude': '-75.25449', 'human_address': '{""address"": ""925 Court Street"", ""city"": ""Honesdale"", ""state"": ""PA"", ""zip"": ""18431""}'}","{'type': 'Point', 'coordinates': [-75.254129, 41.574731]}",41.574731,-75.254129,Yes,Active,29,53,7,745,433,89,(570)253-4912,M-F 8:30am-4:30pm.,Operational,Det. Peter Hower
555,Sinking Spring Police Department,3940 Penn Avenue,Sinking Spring,PA,19608,Berks,"{'latitude': '40.325287', 'longitude': '-76.021889', 'human_address': '{""address"": ""3940 Penn Avenue"", ""city"": ""Sinking Spring"", ""state"": ""PA"", ""zip"": ""19608""}'}","{'type': 'Point', 'coordinates': [-76.0220587, 40.3250009]}",40.3250009,-76.0220587,No,Active,27,45,14,1431,492,56,(610)678-1906,Monday to Friday 9am - 8pm,Operational,
556,State Police-Troop F / Lamar,113 Boyd Rd.,Mill Hall,PA,17751,Clinton,,"{'type': 'Point', 'coordinates': [-80.126956, 41.386954]}",41.386954,-80.126956,No,Active,,,11,,,,,,,
557,East Lansdowne Borough Police,155 Lexington Ave.,Lansdowne,PA,19050,Delaware,"{'latitude': '39.94082', 'longitude': '-75.261035', 'human_address': '{""address"": ""155 Lexington Ave."", ""city"": ""Lansdowne"", ""state"": ""PA"", ""zip"": ""19050""}'}","{'type': 'Point', 'coordinates': [-75.261717, 39.945447]}",39.945447,-75.261717,No,Active,39,28,18,1619,438,202,,,,
558,West Whiteland Twp. Police Dept.,101 Commerce Drive,Exton,PA,19341,Chester,"{'latitude': '40.02557', 'longitude': '-75.628404', 'human_address': '{""address"": ""101 Commerce Drive"", ""city"": ""Exton"", ""state"": ""PA"", ""zip"": ""19341""}'}","{'type': 'Point', 'coordinates': [-75.6237137, 40.031488]}",40.031488,-75.6237137,Yes,Active,32,6,14,994,480,201,(610)363-0200,M-F 8:30-4:30,Operational,Lt. John A. Krisch
559,Upper Darby Police Department,7236 W. Chester Pike,Upper Darby,PA,19082,Delaware,"{'latitude': '39.963166', 'longitude': '-75.265985', 'human_address': '{""address"": ""7236 W. Chester Pike"", ""city"": ""Upper Darby"", ""state"": ""PA"", ""zip"": ""19082""}'}","{'type': 'Point', 'coordinates': [-75.2662194, 39.9629622]}",39.9629622,-75.2662194,No,Active,39,28,18,1670,402,202,(610)352-7050,Please contact location,Operational,
560,Mechanicsburg Borough Police Dept.,36 West Allen Street,Mechanicsburg,PA,17055,Cumberland,"{'latitude': '40.214039', 'longitude': '-77.010192', 'human_address': '{""address"": ""36 West Allen Street"", ""city"": ""Mechanicsburg"", ""state"": ""PA"", ""zip"": ""17055""}'}","{'type': 'Point', 'coordinates': [-77.010327, 40.214314]}",40.214314,-77.010327,Yes,Active,20,17,16,1964,246,39,(717)691-3300,M-F 8:30am-4:30pm,Operational,Chief David J. Spotts
561,Windber Borough Police Department,1301 Jefferson Avenue,Windber,PA,15963,Cambria,"{'latitude': '40.235191', 'longitude': '-78.834267', 'human_address': '{""address"": ""1301 Jefferson Avenue"", ""city"": ""Windber"", ""state"": ""PA"", ""zip"": ""15963""}'}","{'type': 'Point', 'coordinates': [-78.834201, 40.2354]}",40.2354,-78.834201,No,Active,1,66,13,2562,499,30,,,,
562,CVS #5879,855 S. BROADWAY,WIND GAP,PA,18091,"NORTHAMPTON,PA","{'latitude': '40.838512', 'longitude': '-75.296486', 'human_address': '{""address"": ""855 S. BROADWAY"", ""city"": ""WIND GAP"", ""state"": ""PA"", ""zip"": ""18091""}'}","{'type': 'Point', 'coordinates': [-75.295631, 40.838614]}",40.838614,-75.295631,No,Active,38,59,12,1520,337,114,6108635341,Follows Pharmacy Hours of Operation,Pharmacy,
563,Ridley Park Police,230 W. Chester Pike,Ridley Park,PA,19078,Delaware,"{'latitude': '39.872055', 'longitude': '-75.32968', 'human_address': '{""address"": ""230 W. Chester Pike"", ""city"": ""Ridley Park"", ""state"": ""PA"", ""zip"": ""19078""}'}","{'type': 'Point', 'coordinates': [-75.329183, 39.871799]}",39.871799,-75.329183,No,Active,39,28,18,465,408,67,610-362-7401,9-5 M-F,,
564,Lake City Police Department,2352 Main St,Lake City,PA,16423,Erie,"{'latitude': '42.013192', 'longitude': '-80.342157', 'human_address': '{""address"": ""2352 Main St"", ""city"": ""Lake City"", ""state"": ""PA"", ""zip"": ""16423""}'}","{'type': 'Point', 'coordinates': [-80.3422918, 42.0131491]}",42.0131491,-80.3422918,No,Active,4,30,11,1550,96,48,(814)774-8341,M-F 9-5/ or call for an officer after hours,Operational,
565,Ford City Police Dept.,1000 4th Avenue,Ford City,PA,16226,Armstrong,"{'latitude': '40.771496', 'longitude': '-79.530644', 'human_address': '{""address"": ""1000 4th Avenue"", ""city"": ""Ford City"", ""state"": ""PA"", ""zip"": ""16226""}'}","{'type': 'Point', 'coordinates': [-79.530375, 40.77127]}",40.77127,-79.530375,Yes,Active,15,41,3,248,106,11,(724)763-9024,,,Chief Roger Wright
566,City of Franklin Police Dept.,"430 13th Street, Ste. B-2",Franklin,PA,16323,Venango,"{'latitude': '41.397174', 'longitude': '-79.831639', 'human_address': '{""address"": ""430 13th Street, Ste. B-2"", ""city"": ""Franklin"", ""state"": ""PA"", ""zip"": ""16323""}'}","{'type': 'Point', 'coordinates': [-79.831984, 41.397225]}",41.397225,-79.831984,Yes,Active,5,50,3,1996,173,45,(814)437-1644,"24 hours, 7 days a week",Operational,Chief Mark London
567,Pennridge Regional Police,200 Ridge Road,Sellersville,PA,18960,Bucks,"{'latitude': '40.37393', 'longitude': '-75.316787', 'human_address': '{""address"": ""200 Ridge Road"", ""city"": ""Sellersville"", ""state"": ""PA"", ""zip"": ""18960""}'}","{'type': 'Point', 'coordinates': [-75.3065762, 40.3495523]}",40.3495523,-75.3065762,No,Active,40,35,4,1312,345,128,(215)257-5104,M-F 8-4,Operational,
568,EXPRESS CARE PHARMACY,"1727 W LIBERTY STREET, UNIT 2",ALLENTOWN,PA,18104,Lehigh,"{'latitude': '40.603213', 'longitude': '-75.496874', 'human_address': '{""address"": ""1727 W LIBERTY STREET, UNIT 2"", ""city"": ""ALLENTOWN"", ""state"": ""PA"", ""zip"": ""18104""}'}","{'type': 'Point', 'coordinates': [-75.496852, 40.603513]}",40.603513,-75.496852,No,Active,36,26,12,455,99,112,,,Pharmacy,
569,CVS #7132,3015 E. LINCOLN HIGHWAY,THORNDALE,PA,19372,"CHESTER,PA","{'latitude': '39.993025', 'longitude': '-75.763841', 'human_address': '{""address"": ""3015 E. LINCOLN HIGHWAY"", ""city"": ""THORNDALE"", ""state"": ""PA"", ""zip"": ""19372""}'}","{'type': 'Point', 'coordinates': [-75.766231, 39.993375]}",39.993375,-75.766231,No,Active,33,6,14,2265,142,96,6103807180,Follows Pharmacy Hours of Operation,Pharmacy,
570,Albion Boro Police Department,15 Smock Ave,Albion,PA,16401-1113,Erie,"{'latitude': '41.89141', 'longitude': '-80.36506', 'human_address': '{""address"": ""15 Smock Ave"", ""city"": ""Albion"", ""state"": ""PA"", ""zip"": ""16401-1113""}'}","{'type': 'Point', 'coordinates': [-80.3649466, 41.8914982]}",41.8914982,-80.3649466,No,Active,4,30,11,1877,12,48,(814)756-4869,M-F 9-4:30,Operational,
571,Douglass Township Police Department,1320 East Philadelphia Ave.,Gilbertsville,PA,19525,Montgomery,"{'latitude': '40.32036', 'longitude': '-75.610676', 'human_address': '{""address"": ""1320 East Philadelphia Ave."", ""city"": ""Gilbertsville"", ""state"": ""PA"", ""zip"": ""19525""}'}","{'type': 'Point', 'coordinates': [-75.6109002, 40.3205509]}",40.3205509,-75.6109002,No,Active,37,57,8,751,137,58,(610)367-0466,M-F 8-4,Operational,Chief Barry Templin
572,West Brownsville Police Dept.,235 Main Street,West Brownsville,PA,15417,Washington,"{'latitude': '40.026281', 'longitude': '-79.887015', 'human_address': '{""address"": ""235 Main Street"", ""city"": ""West Brownsville"", ""state"": ""PA"", ""zip"": ""15417""}'}","{'type': 'Point', 'coordinates': [-79.8870031, 40.0263378]}",40.0263378,-79.8870031,Yes,Active,12,52,9,868,98,5,(724)785-8434,,Operational,Lt. Kelley Falcon
573,New Garden Twp. Police Dept.,8934 Gap Newport Pike,Landenberg,PA,19350,Chester,"{'latitude': '39.810374', 'longitude': '-75.754017', 'human_address': '{""address"": ""8934 Gap Newport Pike"", ""city"": ""Landenberg"", ""state"": ""PA"", ""zip"": ""19350""}'}","{'type': 'Point', 'coordinates': [-75.7550522, 39.8108131]}",39.8108131,-75.7550522,Yes,Active,32,6,14,866,87,147,(610)268-2907,M-F 8-4,Operational,Chief Gerald R. Simpson
574,Luzerne County District Attorney's Office,200 North River Street,Wilkes-Barre,PA,18711,Luzerne,"{'latitude': '41.251073', 'longitude': '-75.878711', 'human_address': '{""address"": ""200 North River Street"", ""city"": ""Wilkes-Barre"", ""state"": ""PA"", ""zip"": ""18711""}'}","{'type': 'Point', 'coordinates': [-75.8782007, 41.2514211]}",41.2514211,-75.8782007,Yes,Active,30,14,7,1517,453,99,(570)825-1674,M-F 9am-4:30pm.,Operational,Det. James Noone
575,Lower Paxton Township Police Dept.,425 Prince Street,Harrisburg,PA,17109,Dauphin,"{'latitude': '40.297546', 'longitude': '-76.806377', 'human_address': '{""address"": ""425 Prince Street"", ""city"": ""Harrisburg"", ""state"": ""PA"", ""zip"": ""17109""}'}","{'type': 'Point', 'coordinates': [-76.8877709, 40.2641911]}",40.2641911,-76.8877709,No,Active,23,18,16,1946,25,68,(717)657-5656,M-F 8-4,Operational,Director Dave Johnson
